date_time,incident_number,location,location,ori
1/3/2024 20:08,2024-00000181,3300 HEALTHPLEX PKWY,Transfer/Interfacility,EMSSTAT
1/3/2024 20:09,2024-00000699,2500 MEADOWOOD BLVD,Vandalism,OK0140200
1/3/2024 20:13,2024-00000178,3300 HEALTHPLEX PKWY,Transfer/Interfacility,EMSSTAT
1/3/2024 20:17,2024-00000688,521 SANDPIPER LN,Civil Standby,OK0140200
1/3/2024 20:21,2024-00000684,3201 S BERRY RD,Alarm,OK0140200
1/3/2024 20:22,2024-00000679,W GRAY ST / N FLOOD AVE,Traffic Stop,OK0140200
1/3/2024 20:23,2024-00000681,N PETERS AVE / E ROBINSON ST,Suspicious,OK0140200
1/3/2024 20:24,2024-00000682,500 RAMBLING OAKS DR,Shots Heard,OK0140200
1/3/2024 20:25,2024-00000680,123 CRESTLAND DR,Disturbance/Domestic,OK0140200
1/3/2024 20:29,2024-00000683,615 12TH AVE NE,Suspicious,OK0140200
1/3/2024 20:39,2024-00000685,1616 ALAMEDA ST,Disturbance/Domestic,OK0140200
1/3/2024 20:41,2024-00000177,3300 HEALTHPLEX PKWY,Transfer/Interfacility,EMSSTAT
1/3/2024 20:43,2024-00000129,BERRY RD / W ROBINSON ST,Fire Odor Investigation,14005
1/3/2024 20:50,2024-00000686,251 12TH AVE SE,Disturbance/Domestic,OK0140200
1/3/2024 20:52,2024-00000130,2818 CLASSEN BLVD,Heart Problems/AICD,14005
1/3/2024 20:52,2024-00000179,2818 CLASSEN BLVD,Heart Problems/AICD,EMSSTAT
1/3/2024 20:58,2024-00000687,1027 CANTERBURY AVE,Disturbance/Domestic,OK0140200
1/3/2024 21:07,2024-00000689,CRYSTAL CIR / CRYSTAL BEND COP,Problem Solving,OK0140200
1/3/2024 21:08,2024-00000691,209 CHALMETTE DR,Open Door/Premises Check,OK0140200
1/3/2024 21:10,2024-00000690,201 WOODCREST DR,Assault,OK0140200
1/3/2024 21:12,2024-00000180,901 N PORTER AVE,Transfer/Interfacility,EMSSTAT
1/3/2024 21:14,2024-00000696,5720 HUETTNER CT,Contact a Subject,OK0140200
1/3/2024 21:22,2024-00000692,1740 N FLOOD AVE,Traffic Stop,OK0140200
1/3/2024 21:23,2024-00000693,114 W MAIN ST,Alarm,OK0140200
1/3/2024 21:32,2024-00000695,1309 12TH AVE NE,Disturbance/Domestic,OK0140200
1/3/2024 21:32,2024-00000694,1422 GEORGE AVE,Disturbance/Domestic,OK0140200
1/3/2024 21:40,2024-00000697,1900 RENAISSANCE DR,Welfare Check,OK0140200
1/3/2024 21:54,2024-00000698,W MAIN ST / N JAMES GARNER AVE,Traffic Stop,OK0140200
1/3/2024 22:06,2024-00000183,2000 ANN BRANDEN BLVD,Transfer/Interfacility,EMSSTAT
1/3/2024 22:07,2024-00000700,318 E HAYES ST,Disturbance/Domestic,OK0140200
1/3/2024 22:08,2024-00000182,3300 HEALTHPLEX PKWY,Transfer/Interfacility,EMSSTAT
1/3/2024 22:13,2024-00000701,N FLOOD AVE / W MOSIER ST,Traffic Stop,OK0140200
1/3/2024 22:15,2024-00000184,3300 HEALTHPLEX PKWY,Transfer/Interfacility,EMSSTAT
1/3/2024 22:20,2024-00000702,CRESTLAND DR / ALAMEDA ST,Traffic Stop,OK0140200
1/3/2024 22:38,2024-00000703,CRESTLAND DR / ALAMEDA ST,Traffic Stop,OK0140200
1/3/2024 22:39,2024-00000704,N FLOOD AVE / LEXINGTON ST,Traffic Stop,OK0140200
1/3/2024 22:48,2024-00000705,2200 N PORTER AVE,Traffic Stop,OK0140200
1/3/2024 22:50,2024-00000706,318 E HAYES ST,Disturbance/Domestic,OK0140200
1/3/2024 22:52,2024-00000707,DRAKE DR / CLASSEN BLVD,Traffic Stop,OK0140200
1/3/2024 22:55,2024-00000708,1210 MCGEE DR,Traffic Stop,OK0140200
1/3/2024 22:55,2024-00000131,702 N UNIVERSITY BLVD,Sick Person,14005
1/3/2024 22:55,2024-00000185,702 N UNIVERSITY BLVD,Sick Person,EMSSTAT
1/3/2024 23:03,2024-00000709,200 VICKSBURG AVE,Disturbance/Domestic,OK0140200
1/3/2024 23:07,2024-00000710,686 ED NOBLE PKWY,Vandalism,OK0140200
1/3/2024 23:19,2024-00000711,RICHARDSON DR / SMALLEY DR,Traffic Stop,OK0140200
1/3/2024 23:20,2024-00000712,2244 W LINDSEY ST,Traffic Stop,OK0140200
1/3/2024 23:25,2024-00000186,2000 ANN BRANDEN BLVD,Transfer/Interfacility,EMSSTAT
1/3/2024 23:32,2024-00000713,1019 W LINDSEY ST,Traffic Stop,OK0140200
1/3/2024 23:40,2024-00000714,W ROBINSON ST / 24TH AVE NW,Traffic Stop,OK0140200
1/3/2024 23:42,2024-00000715,W ROCK CREEK RD / 24TH AVE NW,Open Door/Premises Check,OK0140200
1/3/2024 23:48,2024-00000716,W MAIN ST / 24TH AVE NW,Motorist Assist,OK0140200
1/3/2024 23:53,2024-00000187,901 N PORTER AVE,Transfer/Interfacility,EMSSTAT
1/3/2024 23:55,2024-00000717,102 W FRANKLIN RD,Motorist Assist,OK0140200
